"gene","SE","SR","TE","TR"
"36951",1.14,1.13,1.16,1.27
"36951",1.14,1.13,1.14,1.36
"37135",1.43,1.42,1.32,1.14
"37226",1.19,1.19,1.19,1.13
"37316",1.18,1.2,1.16,1.28
"37316",1.16,1.18,1.15,1.26
"37500",1.23,1.22,1.22,1.37
"37681",1.17,1.16,1.17,1
"37865",1.19,1.17,1.16,1.17
"38047",1.17,1.18,1.18,1.23
"38231",1.15,1.16,1.15,1.14
"38412",1.2,1.19,1.21,1.31
"38596",1.19,1.22,1.19,1.24
"38777",1.23,1.2,1.21,1.09
"38961",1.18,1.18,1.17,1.1
"39142",1.18,1.16,1.17,0.59
"39326",1.22,1.2,1.22,1.25
"39508",1.22,1.21,1.22,1.33
"39692",1.18,1.21,1.18,1.13
"39873",1.2,1.17,1.22,1.2
"40057",1.27,1.25,1.23,1.25
"40238",1.31,1.27,1.27,1.16
"40422",1.12,1.12,1.14,1.1
"40603",1.16,1.15,1.16,1.13
"40787",1.15,1.12,1.15,1.27
"41153",1.21,1.25,1.24,1.09
"41883",1.15,1.16,1.17,1.34
"A1BG",1.15,1.18,1.1,1.96
"A1BG-AS1",1.27,1.31,1.22,1.25
"A1CF",1.13,1.12,1.14,1.28
"A2M",1.14,1.13,1.14,1.05
"A2M-AS1",1.11,1.19,1.12,1.05
"A2ML1",1.14,1.15,1.14,1.15
"A2MP1",1.08,1.12,1.11,1.13
"A3GALT2",1.17,1.22,1.21,1.21
"A4GALT",1.35,1.29,1.27,1.31
"A4GNT",1.26,1.14,1.15,1.62
"AA06",1.1,1.09,1.13,1.21
"AAAS",1.26,1.27,1.25,1.11
"AACS",1.25,1.23,1.23,1.16
"AACSP1",1.27,1.26,1.25,1.23
"AADAC",1.17,1.12,1.14,1.18
"AADACL2",1.14,1.16,1.18,1.63
"AADACL2-AS1",1.2,1.16,1.18,1.19
"AADACL3",1.16,1.12,1.12,1.67
"AADACL4",1.15,1.13,1.13,1.19
"AADACP1",1.24,1.18,1.2,1.19
"AADAT",1.15,1.1,1.12,1.25
"AAED1",1.23,1.21,1.22,1.15
"AAGAB",1.2,1.17,1.18,0.71
