"symbol","width","SE1_breaks","SE1_density","SE2_breaks","SE2_density","SR1_breaks","SR1_density","SR2_breaks","SR2_density","TE1_breaks","TE1_density","TE2_breaks","TE2_density","TR1_breaks","TR1_density","TR2_breaks","TR2_density","SE_mean","SR_mean","TE_mean","TR_mean","break_group"
"A1BG",6695,0.5,74.09,0.86,128.96,0.43,64.6,0.59,88.53,0.55,82.03,0.33,49.27,0.87,129.29,0.17,24.67,101.525,76.565,65.65,76.98,"9"
"A1BG-AS1",3215,0.11,34.29,0.32,100.71,0.13,40.36,0.22,68.13,0.34,104.82,0.07,20.52,0,0,0.17,51.37,67.5,54.245,62.67,25.685,"7"
"A1CF",86268,1.05,12.14,1.56,18.14,1.86,21.56,1.49,17.32,2.16,25.03,1.32,15.3,2.08,24.08,1.82,21.06,15.14,19.44,20.165,22.57,"1"
"A2M",48523,0.99,20.45,1.03,21.13,1.56,32.09,2,41.16,1.77,36.53,1.58,32.63,1.21,24.97,1.49,30.63,20.79,36.625,34.58,27.8,"2"
"A2M-AS1",2880,0.22,76.55,0.11,37.47,0,0,0.28,98.42,0.29,99.68,0.13,45.82,0,0,0.17,57.34,57.01,49.21,72.75,28.67,"7"
"A2ML1",54311,1.43,26.39,1.73,31.79,1.47,27.08,1.57,28.94,1.65,30.34,1.52,27.94,2.77,51,1.82,33.45,29.09,28.01,29.14,42.225,"3"
"A2MP1",5676,0.06,9.71,0.32,57.04,0.3,53.34,0.15,27.24,0.21,37.38,0.4,69.74,0,0,0,0,33.375,40.29,53.56,0,"4"
"A3GALT2",14334,0.39,26.92,0.97,67.76,0.39,27.16,0.45,31.46,0.4,27.86,0.59,41.43,0.17,12.08,0.5,34.56,47.34,29.31,34.645,23.32,"6"
"A4GALT",29188,3.58,122.74,2.59,88.74,1.77,60.75,1.57,53.85,1.39,47.47,2.24,76.85,1.9,65.24,0.5,16.97,105.74,57.3,62.16,41.105,"9"
"A4GNT",8671,0.28,31.78,0.32,37.34,0.52,59.85,0.44,50.52,0.45,51.82,0.59,68.48,0.17,19.96,0.17,19.05,34.56,55.185,60.15,19.505,"4"
"AA06",3975,0.06,13.87,0.11,27.15,0.04,10.88,0.05,12.97,0,0,0.07,16.6,0.17,43.55,0.17,41.55,20.51,11.925,8.3,42.55,"2"
"AAAS",14174,0.99,69.99,1.13,79.95,0.74,51.87,0.99,69.99,0.7,49.31,0.99,69.82,1.38,97.71,1.82,128.17,74.97,60.93,59.565,112.94,"8"
"AACS",77968,5.57,71.4,4.86,62.29,3.72,47.7,3.89,49.91,3.53,45.3,4.75,60.93,5.89,75.49,5.12,65.66,66.845,48.805,53.115,70.575,"7"
"AACSP1",53576,1.93,36.01,3.45,64.46,2.64,49.24,3.39,63.25,3.03,56.61,3.76,70.19,2.77,51.7,3.47,64.73,50.235,56.245,63.4,58.215,"6"
"AADAC",14417,0.33,22.94,0.97,67.37,0.48,33,0.97,67.03,0.89,61.47,0.86,59.49,0.35,24.02,0.83,57.28,45.155,50.015,60.48,40.65,"5"
"AADACL2",23854,0.44,18.48,0.65,27.15,0.74,30.82,0.68,28.63,0.7,29.3,0.33,13.83,0.52,21.77,0.5,20.77,22.815,29.725,21.565,21.27,"2"
"AADACL2-AS1",176998,6.45,36.43,6.85,38.72,7.05,39.83,9.61,54.3,9.27,52.4,6.66,37.65,5.02,28.36,6.61,37.32,37.575,47.065,45.025,32.84,"4"
"AADACL3",12646,0.17,13.08,0.05,4.27,0.13,10.26,0.18,14.26,0.09,6.91,0.13,10.43,0,0,0.17,13.06,8.675,12.26,8.67,6.53,"1"
"AADACL4",22541,0.55,24.45,0.43,19.15,0.65,28.78,0.59,26.29,0.59,26.03,0.79,35.12,0.52,23.04,0.5,21.98,21.8,27.535,30.575,22.51,"2"
"AADACP1",14440,0.94,64.89,0.65,44.84,0.56,38.94,0.86,59.78,0.87,60.51,0.33,22.85,0.35,23.98,0.33,22.87,54.865,49.36,41.68,23.425,"6"
"AADAT",30001,0.99,33.07,0.76,25.18,1.21,40.36,1.16,38.65,1.01,33.7,1.25,41.78,2.42,80.78,0.5,16.51,29.125,39.505,37.74,48.645,"3"
"AAED1",14068,0.83,58.77,0.32,23.01,0.82,58.41,1.06,75.1,1.16,82.51,0.99,70.35,0.17,12.31,1.16,82.18,40.89,66.755,76.43,47.245,"5"
"AAGAB",54063,5.35,98.89,3.13,57.89,4.54,84,4.34,80.31,3.72,68.8,2.71,50.04,1.21,22.41,2.64,48.88,78.39,82.155,59.42,35.645,"8"
"AAK1",185852,8.38,45.08,5.99,32.23,6.75,36.3,6.71,36.12,6.59,35.46,6.2,33.37,5.54,29.81,5.95,31.99,38.655,36.21,34.415,30.9,"5"
"AAMDC",51240,1.76,34.42,2.59,50.55,1.6,31.23,2.49,48.53,2.16,42.14,1.58,30.9,1.56,30.41,2.97,58.02,42.485,39.88,36.52,44.215,"5"
"AAMP",6082,1.38,226.55,0.54,88.72,0.65,106.67,0.48,78.38,0.71,116.98,0.73,119.33,0.87,142.32,0.66,108.62,157.635,92.525,118.155,125.47,"9"
"AANAT",2571,0.11,42.87,0.05,20.99,0.17,67.29,0.19,75.17,0.19,72.82,0.2,76.99,0,0,0.17,64.24,31.93,71.23,74.905,32.12,"4"
"AAR2",20526,0.88,42.96,0.92,44.69,0.86,42.14,0.88,42.68,0.79,38.31,0.92,45,0.69,33.74,0.5,24.14,43.825,42.41,41.655,28.94,"5"
"AARD",5777,0.11,19.08,0.22,37.36,0.17,29.95,0.31,53.53,0.27,47.53,0,0,0.17,29.97,0,0,28.22,41.74,23.765,14.985,"3"
"AARS",37117,8.32,224.22,4.42,119.21,4.84,130.5,2.96,79.84,2.85,76.67,6.4,172.42,4.15,111.94,3.14,84.54,171.715,105.17,124.545,98.24,"9"
