"gene","dsb_density"
"A1BG",101.525
"A1BG-AS1",67.5
"A1CF",15.14
"A2M",20.79
"A2M-AS1",57.01
"A2ML1",29.09
"A2MP1",33.375
"A3GALT2",47.34
"A4GALT",105.74
"A4GNT",34.56
"AA06",20.51
"AAAS",74.97
"AACS",66.845
"AACSP1",50.235
"AADAC",45.155
"AADACL2",22.815
"AADACL2-AS1",37.575
"AADACL3",8.675
"AADACL4",21.8
"AADACP1",54.865
"AADAT",29.125
"AAED1",40.89
"AAGAB",78.39
"AAK1",38.655
"AAMDC",42.485
"AAMP",157.635
"AANAT",31.93
"AAR2",43.825
"AARD",28.22
"AARS",171.715
"AARS2",87.67
"AARSD1",29.29
"AASDH",31.545
"AASDHPPT",29.725
"AASS",25.455
"AATBC",124.33
"AATF",30.51
"AATK",45.185
"AATK-AS1",50.88
"ABALON",271.665
"ABAT",65.3
"ABCA1",51.32
"ABCA10",36.375
"ABCA11P",47.49
"ABCA12",27.255
"ABCA13",24.095
"ABCA17P",33.98
"ABCA2",72.755
"ABCA3",47.805
"ABCA4",24.665
"ABCA5",32.29
"ABCA6",21.53
"ABCA7",28.96
"ABCA8",32.905
"ABCA9",34.05
"ABCA9-AS1",32.015
"ABCB1",30.815
"ABCB10",35.02
"ABCB11",25.33
"ABCB4",27.41
"ABCB5",23.92
"ABCB6",62.1
"ABCB7",25.15
"ABCB8",96.835
"ABCB9",55.09
"ABCC1",39.415
"ABCC10",53.61
"ABCC11",26.35
"ABCC12",21.345
"ABCC13",38.515
"ABCC2",28.94
"ABCC3",78.045
"ABCC4",24.14
"ABCC5",68.825
"ABCC5-AS1",85.95
"ABCC6",26.885
"ABCC6P1",37.22
"ABCC6P2",35.88
"ABCC8",32.745
"ABCC9",21.555
"ABCD1",49.395
"ABCD2",25.375
"ABCD3",31.55
"ABCD4",52.185
"ABCE1",41.69
"ABCF1",31.24
"ABCF2",51.505
"ABCF3",100
"ABCG1",81.055
"ABCG2",37.275
"ABCG4",35.98
"ABCG5",25.84
"ABCG8",35.925
"ABHD1",50.505
"ABHD10",58.065
"ABHD11",117.135
"ABHD11-AS1",0
"ABHD12",88.13
"ABHD12B",30.745
"ABHD13",36.35
"ABHD14A",35.04
"ABHD14A-ACY1",24.9
"ABHD14B",31.135
"ABHD15",89.975
"ABHD16A",33.125
"ABHD16B",30.365
"ABHD17A",153.315
"ABHD17B",56.58
"ABHD17C",85.725
"ABHD18",41.825
"ABHD2",64.78
"ABHD3",41.425
"ABHD4",53.98
"ABHD5",46.26
"ABHD6",25.675
"ABHD8",55.11
"ABI1",49.605
"ABI2",58.37
"ABI3",60.5
"ABI3BP",20.645
"ABL1",48.365
"ABL2",82.29
"ABLIM1",32.285
"ABLIM2",38.15
"ABLIM3",32.725
"ABO",35.35
"ABR",27.645
"ABRA",50.565
"ABRACL",76.405
"ABT1",70.19
"ABTB1",64.595
"ABTB2",56.695
"ACAA1",48.82
"ACAA2",25.055
"ACACA",28.765
"ACACB",37.03
"ACAD10",46.82
"ACAD11",40.955
"ACAD8",17.765
"ACAD9",88.52
"ACADL",28.335
"ACADM",27.105
"ACADS",42.035
"ACADSB",37.59
"ACADVL",271
"ACAN",37.535
"ACAP1",38.29
"ACAP2",62.04
"ACAP3",77.34
"ACAT1",32.83
"ACAT2",39.72
"ACBD3",46.85
"ACBD4",28.72
"ACBD5",46.575
"ACBD6",67.655
"ACBD7",45.185
"ACBD7-DCLRE1CP1",38.095
"ACCS",29.02
"ACCSL",24.925
"ACD",82.16
"ACE",63.65
"ACE2",15.22
"ACER1",32.14
"ACER2",43.17
"ACER3",56.56
"ACHE",140.855
"ACIN1",115.73
"ACKR1",21.68
"ACKR2",54.155
"ACKR3",38.72
"ACKR4",40.675
"ACLY",41.88
"ACMSD",32.19
"ACO1",24.72
"ACO2",112.315
"ACOD1",22.015
"ACOT1",20.7
"ACOT11",50.03
"ACOT12",27.725
"ACOT13",42.265
"ACOT2",81.4
"ACOT4",53.425
"ACOT6",44.67
"ACOT7",38.29
"ACOT8",52.105
"ACOT9",30.305
"ACOX1",56.1
"ACOX2",18.71
"ACOX3",38.835
"ACOXL",32.485
"ACOXL-AS1",15.81
"ACP1",54.995
"ACP2",82.745
"ACP5",52.365
"ACP6",141.57
"ACP7",39.11
"ACPP",40.135
"ACPT",56.56
"ACR",46.24
"ACRBP",32.02
"ACRV1",22.185
"ACSBG1",58.455
"ACSBG2",23.73
"ACSF2",29.63
"ACSF3",125.61
"ACSL1",28.2
"ACSL3",93.075
"ACSL4",23.65
"ACSL5",21.65
"ACSL6",25.045
"ACSM1",28.395
"ACSM2A",30.84
"ACSM2B",30.23
"ACSM3",41.975
"ACSM4",14.705
"ACSM5",32.515
"ACSM6",24.3
"ACSS1",70.08
"ACSS2",44.265
"ACSS3",35.265
"ACTA1",67.03
"ACTA2",22.22
"ACTA2-AS1",18.895
"ACTB",2204.19
"ACTBL2",68.195
"ACTC1",14.215
"ACTG1",801.59
"ACTG1P17",53.135
"ACTG1P20",61.67
"ACTG1P4",13.89
"ACTG2",35.77
"ACTL10",80.07
"ACTL6A",67.405
"ACTL6B",57.02
"ACTL7A",36.045
"ACTL7B",19.16
"ACTL8",22.06
"ACTL9",0
"ACTN1",105.835
"ACTN1-AS1",34.965
"ACTN2",29.73
"ACTN3",56.015
"ACTN4",101.42
"ACTR10",57.725
"ACTR1A",50.925
"ACTR1B",87.3
"ACTR2",76.135
"ACTR3",49.16
"ACTR3B",69.175
"ACTR3BP2",41.16
"ACTR3BP5",49.875
"ACTR3C",62.81
"ACTR5",38.615
"ACTR6",42.575
"ACTR8",39.63
"ACTRT1",19.1
"ACTRT2",18.96
"ACTRT3",191.485
"ACVR1",41.285
"ACVR1B",89.65
"ACVR1C",19.23
"ACVR2A",25.235
"ACVR2B",52.55
"ACVR2B-AS1",50.375
"ACVRL1",87.06
"ACY1",13.87
"ACY3",66.925
"ACYP1",80.92
"ACYP2",33.69
"ADA",60.84
"ADAD1",22.59
"ADAD2",89.555
"ADAL",32.95
"ADAM10",27.355
"ADAM11",48.12
"ADAM12",27.455
"ADAM15",123.54
"ADAM17",72.255
