"cell_line","cell_type","gene","break_density","ratio_non_se"
"HEK293","normal","FAM41C",15.7816666666667,1.02307819800804
"HEK293","normal","SAMD11",41.3436666666667,2.68018612265572
"HEK293","normal","NOC2L",61.1793333333333,3.9660730025557
"HEK293","normal","KLHL17",0,0
"HEK293","normal","PLEKHN1",0,0
"HEK293","normal","PERM1",0,0
"HEK293","normal","HES4",0,0
"HEK293","normal","ISG15",0,0
"HEK293","normal","AGRN",30.974,2.00795168054289
"HEK293","normal","FAAP20",34.5236666666667,2.23806594246257
"HEK293","normal","SKI",28.8206666666667,1.86835752785238
"HEK293","normal","PRDM16",14.9106666666667,0.966613875874867
"HEK293","normal","ARHGEF16",17.8053333333333,1.15426644893436
"HEK293","normal","RERE",28.821,1.86837913685435
"HEK293","normal","ENO1",62.265,4.03645352195399
"HEK293","normal","MIR6728",0,0
"HEK293","normal","ENO1-AS1",0,0
"HEK293","normal","MIR34A",0,0
"HEK293","normal","H6PD",14.7676666666667,0.957343614032108
"HEK293","normal","VPS13D",14.8366666666667,0.961816677438754
"HEK293","normal","SNORA59A",0,0
"HEK293","normal","DHRS3",19.7463333333333,1.2800956673735
"HEK293","normal","MIR6730",0,0
"HEK293","normal","AADACL4",8.35666666666667,0.541737679249372
"HEK293","normal","PLEKHM2",13.466,0.872960461360835
"HEK293","normal","FBLIM1",9.297,0.602696673791155
"HEK293","normal","UQCRHL",0,0
"HEK293","normal","SPEN",38.4193333333333,2.49061034842139
"HEK293","normal","RNU1-1",849.989333333333,55.1022635213468
"HEK293","normal","NBPF1",96.283,6.24173860843646
"HEK293","normal","CROCCP2",53.33,3.45722422429625
"HEK293","normal","MST1P2",97.1086666666667,6.29526410630246
"HEK293","normal","ESPNP",18.7363333333333,1.21462039142114
"HEK293","normal","CROCC",37.092,2.40456330259885
"HEK293","normal","MST1L",72.241,4.68316773274678
"HEK293","normal","MFAP2",22.7366666666667,1.4739500239968
"HEK293","normal","ATP13A2",15.4233333333333,0.999848520896229
"HEK293","normal","SDHB",9.37366666666667,0.607666744242984
"HEK293","normal","RCC2",38.1483333333333,2.47304222982427
"HEK293","normal","HP1BP3",24.098,1.56220118801971
"HEK293","normal","ECE1",10.334,0.669922278902634
"HEK293","normal","HNRNPR",11.609,0.752576711416749
"HEK293","normal","ZNF436",68.7716666666667,4.45826124030053
"HEK293","normal","ZNF436-AS1",90.026,5.83611603256131
"HEK293","normal","TCEA3",30.6213333333333,1.98508935646447
"HEK293","normal","E2F2",0,0
"HEK293","normal","ID3",0,0
"HEK293","normal","HMGN2",0,0
"HEK293","normal","MIR1976",0,0
"HEK293","normal","ARID1A",20.2066666666667,1.30993769908644
"HEK293","normal","PIGV",24.367,1.57963965260504
"HEK293","normal","RCC1",75.7836666666667,4.91282820562521
"HEK293","normal","SNHG3",276.829666666667,17.9460384324744
"HEK293","normal","SNORA73A",2706.76266666667,175.471319344098
"HEK293","normal","SNORA73B",1366.64966666667,88.5958059952447
"HEK293","normal","TRNAU1AP",7.54633333333333,0.489206195473735
"HEK293","normal","PTP4A2",76.189,4.93910475201401
"HEK293","normal","RRAGC",48.5446666666667,3.14700539209426
"HEK293","normal","NDUFS5",54.4903333333333,3.53244516013459
"HEK293","normal","MACF1",32.422,2.10182118507656
"HEK293","normal","RNF220",32.677,2.11835207157939
"HEK293","normal","TMEM53",39.069,2.53272629325015
"HEK293","normal","LRRC41",38.6296666666667,2.50424562866097
"HEK293","normal","UQCRH",0,0
"HEK293","normal","NSUN4",19.329,1.25304119691398
"HEK293","normal","LINC01389",14.5393333333333,0.942541447686443
"HEK293","normal","FAF1",30.6856666666667,1.98925989384362
"HEK293","normal","CDKN2C",81.642,5.29260641515085
"HEK293","normal","JUN",174.13,11.2883265362218
"HEK293","normal","LINC01135",54.232,3.51569818361212
"HEK293","normal","NFIA",61.7943333333333,4.00594161118015
"HEK293","normal","GADD45A",166.666,10.8044577642333
"HEK293","normal","GNG12",64.7423333333333,4.19705162455396
"HEK293","normal","GNG12-AS1",44.7766666666667,2.90273723388784
"HEK293","normal","ADGRL2",41.6206666666667,2.6981432032882
"HEK293","normal","LMO4",95.6646666666667,6.20165390979236
"HEK293","normal","LINC01364",62.3613333333333,4.04269852352172
"HEK293","normal","FAM72B",93.549,6.06450157432384
"HEK293","normal","SRGAP2C",132.478666666667,8.58819530475284
"HEK293","normal","SRGAP2-AS1",119.075,7.71927572675936
"HEK293","normal","RNVU1-17",849.989333333333,55.1022635213468
"HEK293","normal","RNVU1-18",1699.979,110.204548651696
"HEK293","normal","FAM72C",99.182,6.42967209852149
"HEK293","normal","SRGAP2D",122.084666666667,7.9143834054966
"HEK293","normal","SRGAP2B",145.072666666667,9.4046266169746
"HEK293","normal","FAM72D",110.535333333333,7.16567470543149
"HEK293","normal","NBPF20",175.824333333333,11.3981650932072
"HEK293","normal","PDE4DIP",116.497,7.55215170556611
"HEK293","normal","NBPF9",109.942,7.12721068193472
"HEK293","normal","PPIAL4C",252.813666666667,16.3891530589379
"HEK293","normal","LINC00869",116.49,7.55169791652486
