"FC_group","gene","NE","EE","FC","log2FC","SE_status"
"1-2","TIMM50",114.974,53.142,1.78833537734185,0.838617319214563,"non_ERSE"
"1-2","MUTYH",55.857,65.949,1.80363212078453,0.850905108192922,"non_ERSE"
"1-2","PNPT1",36.868,52.103,1.82766330409466,0.870000318616407,"non_ERSE"
"1-2","MED20",93.747,4.748,1.89791500049347,0.924415381656964,"non_ERSE"
"1-2","HMOX2",48.316,40.953,1.56513715780439,0.646289090521267,"non_ERSE"
"1-2","KIAA1191",11.258,67.41,1.78065879424845,0.832411097009361,"non_ERSE"
"1-2","PWP2",12.465,105.295,1.86117586654483,0.896214385222073,"non_ERSE"
"1-2","KLHL18",45.539,67.908,1.71099921802367,0.774839100473951,"non_ERSE"
"1-2","SCNN1A",65.385,73.104,1.87314966708348,0.905466177388003,"ERSE"
"1-2","RERG",34.991,47.272,1.97102217944579,0.978944010778362,"ERSE"
"1-2","EP400",71.433,115.954,1.65639626632853,0.728047855855094,"ERSE"
"1-2","VEZF1",46.12,151.998,1.98518085409281,0.989270445865666,"ERSE"
"1-2","APPBP2",360.635,329.695,1.52316044561686,0.607067919437761,"ERSE"
"1-2","CYB561",80.09,102.877,1.90132336793148,0.927003919486216,"ERSE"
"1-2","HK2",74.244,98.225,1.5852924225992,0.664748984037679,"ERSE"
"1-2","AZIN1",98.184,86.882,1.59058893223162,0.669561037393106,"ERSE"
"2-3","STX12",55.756,60.358,2.55370075830213,1.35258948048048,"non_ERSE"
"2-3","RHEB",75.791,194.954,2.15786846960453,1.1096069296858,"non_ERSE"
"2-3","ADAMTS17",42.976,62.828,2.14427237358275,1.10048817401346,"non_ERSE"
"2-3","VDR",42.145,42.984,2.0971290549892,1.06841564601435,"non_ERSE"
"2-3","ATF1",93.047,80.233,2.2883587509212,1.19431324425034,"non_ERSE"
"2-3","HDAC4",128.144,61.196,2.60994403752611,1.38401887282998,"non_ERSE"
"2-3","TAF4B",37.041,30.108,2.25601162513,1.1737745019008,"non_ERSE"
"2-3","NSDHL",29.134,39.917,2.00986675621009,1.00709986134116,"non_ERSE"
"2-3","RUNX2",46.132,59.372,2.2058704299966,1.14134805135937,"non_ERSE"
"2-3","TJP1",47.985,37.271,2.69608819892635,1.43086769313413,"non_ERSE"
"2-3","EIF3B",376.16,872.97,2.18288216703585,1.1262342551014,"non_ERSE"
"2-3","TBCA",42.208,46.314,2.97214145262205,1.57150277944989,"non_ERSE"
"2-3","GBP2",80.255,25.305,2.58666601596167,1.37109378876509,"non_ERSE"
"2-3","IGSF21",21.515,17.128,2.86450329448771,1.51828499702595,"non_ERSE"
"2-3","UBE2A",42.89,48.977,2.61870903812977,1.38885577233973,"non_ERSE"
"2-3","PTMA",5114.914,10116.317,2.13295142576276,1.09285111119695,"non_ERSE"
"2-3","MED26",29.679,87.885,2.04356686371983,1.03108944785032,"non_ERSE"
"2-3","C11ORF80",74.468,78.376,2.01713690873423,1.01230900702908,"non_ERSE"
"2-3","NADSYN1",50.972,61.796,2.99486563634153,1.58249127842905,"non_ERSE"
"2-3","RALGPS2",71.172,57.396,2.40579960235028,1.2665164742944,"non_ERSE"
"2-3","CYCS",18.092,11.349,2.44659252645595,1.29077384436301,"non_ERSE"
"2-3","KIAA1549",22.996,29.846,2.06564752195066,1.04659409654682,"non_ERSE"
"2-3","HNRNPA0",40.691,44.396,2.91200597065221,1.54201331357971,"non_ERSE"
"2-3","CPLX3",23.087,60.252,2.88788170435939,1.53001164664702,"non_ERSE"
"2-3","SLC22A15",79.314,70.054,2.05203134633097,1.0370527693713,"non_ERSE"
"2-3","TNFRSF19",47.751,32.646,2.62763203399925,1.39376325895819,"non_ERSE"
"2-3","RRBP1",141.097,83.523,2.55184166863436,1.35153881853763,"non_ERSE"
"2-3","PTK2",87.468,101.174,2.18463050981689,1.12738929495192,"non_ERSE"
"2-3","ELF3",89.683,464.759,2.15128957366486,1.1052017313497,"ERSE"
"2-3","ARL8A",183.54,49.454,2.35228822794316,1.23406484569617,"ERSE"
"2-3","DLG5",73.274,119.607,2.66470749337735,1.41397717613096,"ERSE"
"2-3","PPIF",98.495,279.061,2.41060769046217,1.26939688151816,"ERSE"
"2-3","SLC25A45",104.154,102.225,2.92141108888456,1.54666538253052,"ERSE"
"2-3","FRMD8",64.034,83.926,2.95832271286961,1.56477943947608,"ERSE"
"2-3","CCND1",213.844,696.826,2.02820823219688,1.02020577864092,"ERSE"
"2-3","FADD",43.289,39.549,2.00215002657154,1.0015500833054,"ERSE"
"2-3","PPFIA1",77.776,67.891,2.25613598059667,1.17385402368545,"ERSE"
"2-3","SCARB1",53.909,114.377,2.73661184032661,1.45239081806101,"ERSE"
"2-3","ULK1",76.866,194.984,2.59275693114202,1.3744869610415,"ERSE"
"2-3","PUS1",127.876,280.89,2.35837886046541,1.23779549788076,"ERSE"
"2-3","FAM174B",90.728,95.051,2.09941918574386,1.06999025467899,"ERSE"
"2-3","NR2F2",240.795,391.198,2.32685696957555,1.21838253191817,"ERSE"
"2-3","ZNF286A",47.607,104.056,2.46696830728428,1.30273918170309,"ERSE"
"2-3","TOB1",133.913,112.544,2.69539610032176,1.43049729894407,"ERSE"
"2-3","MRPS23",108.999,134.849,2.02678696154513,1.01919445305012,"ERSE"
"2-3","TBX2",987.995,2786.075,2.46393551707288,1.30096450018196,"ERSE"
"2-3","TMEM104",31.803,44.373,2.45572398521979,1.29614841594742,"ERSE"
"2-3","E2F6",187.184,141.382,2.15678574162168,1.10888286409546,"ERSE"
"2-3","SDC1",96.365,132.669,2.38360512201094,1.2531452527034,"ERSE"
"2-3","HS6ST1",44.804,25.953,2.2719223574532,1.18391353183589,"ERSE"
"2-3","KCNK15",92.649,58.116,2.67261136034696,1.418250062323,"ERSE"
"2-3","CUX1",101.565,197.588,2.43917138558247,1.28639113100949,"ERSE"
"2-3","SLC7A2",76.838,32.074,2.73428405269692,1.45116312594698,"ERSE"
"2-3","GRHL2",150.587,394.202,2.61291272974105,1.38565894001486,"ERSE"
"2-3","PVT1",294.739,493.653,2.29808403579451,1.20043155508031,"ERSE"
"2-3","PIP5KL1",89.884,156.213,2.22422281023266,1.15330131644127,"ERSE"
"3-4","SPATA9",51.023,24.881,3.2194169982834,1.68679945547118,"non_ERSE"
"3-4","CYFIP1",59.868,65.155,3.67791647449532,1.87888871650905,"non_ERSE"
"3-4","ST8SIA6",51.705,58.914,3.71530258671985,1.89347971347801,"non_ERSE"
"3-4","FAM43A",169.815,23.758,3.77626841060275,1.91696131260315,"non_ERSE"
"3-4","VEGFA",32.861,48.928,3.06728877160638,1.61696399632547,"non_ERSE"
"3-4","ADAMTS15",27.669,5.354,3.03774597029623,1.60300123036762,"non_ERSE"
