"gene","rloop_density"
"36951",1.56
"37135",2.95
"37226",0.76
"37316",1.6
"37500",2.11
"37681",0.92
"37865",1.21
"38047",0.86
"38231",1.71
"38412",1.46
"38596",4
"38777",1.45
"38961",0.96
"39142",1.62
"39326",1.29
"39508",0.86
"39692",2.01
"39873",3.66
"40057",4.06
"40238",0.99
"40422",1.02
"40603",0.77
"40787",1.28
"41153",1.11
"41883",0.89
"A1BG",2.74
"A1BG-AS1",3.97
"A1CF",0.81
"A2M",0.8
"A2M-AS1",2.12
"A2ML1",0.9
"A2MP1",0.88
"A3GALT2",1.88
"A4GALT",6.87
"A4GNT",0.73
"AA06",0.8
"AAAS",1.79
"AACS",2.52
"AACSP1",0.9
"AADAC",0.71
"AADACL2",0.67
"AADACL2-AS1",0.74
"AADACL3",0.95
"AADACL4",0.92
"AADACP1",0.65
"AADAT",1.02
"AAED1",1.45
"AAGAB",1.55
"AAK1",1.11
"AAMDC",0.98
"AAMP",5.03
"AANAT",6.06
"AAR2",2.37
"AARD",0.79
"AARS",3.96
"AARS2",3.87
"AARSD1",1.57
"AASDH",1.06
"AASDHPPT",1.01
"AASS",0.81
"AATBC",6.51
"AATF",1.31
"AATK",2.51
"AATK-AS1",3.62
"ABALON",2.85
"ABAT",1.92
"ABCA1",1.01
"ABCA10",0.8
"ABCA11P",1.41
"ABCA12",0.82
"ABCA13",0.79
"ABCA17P",1.25
"ABCA2",4.42
"ABCA3",2.04
"ABCA4",0.92
"ABCA5",0.86
"ABCA6",0.76
"ABCA7",3.57
"ABCA8",0.76
"ABCA9",0.82
"ABCA9-AS1",0.87
"ABCB1",0.8
"ABCB10",1.13
"ABCB11",0.79
"ABCB4",0.84
"ABCB5",0.83
"ABCB6",5
"ABCB7",1.06
"ABCB8",2.4
"ABCB9",2.55
"ABCC1",1.85
"ABCC10",3.89
"ABCC11",0.95
"ABCC12",0.89
"ABCC13",0.94
"ABCC2",0.95
"ABCC3",2.64
"ABCC4",1.13
"ABCC5",1.93
"ABCC5-AS1",1.3
"ABCC6",1.11
"ABCC6P1",0.87
"ABCC6P2",0.75
"ABCC8",1.04
"ABCC9",0.82
"ABCD1",2.5
"ABCD2",0.74
"ABCD3",1.14
"ABCD4",1.72
"ABCE1",1.71
"ABCF1",4
"ABCF2",2.88
"ABCF3",2.45
"ABCG1",1.4
"ABCG2",0.89
"ABCG4",0.91
"ABCG5",0.82
"ABCG8",0.86
"ABHD1",2.6
"ABHD10",1.11
"ABHD11",18.58
"ABHD11-AS1",14.8
"ABHD12",2.04
"ABHD12B",0.78
"ABHD13",1.7
"ABHD14A",3.39
"ABHD14A-ACY1",6.11
"ABHD14B",2.97
"ABHD15",2.01
"ABHD16A",1.53
"ABHD16B",11.59
"ABHD17A",4.02
"ABHD17B",1.23
"ABHD17C",2.55
"ABHD18",1.1
"ABHD2",1.7
"ABHD3",1.32
"ABHD4",1.09
"ABHD5",1.13
"ABHD6",1.05
"ABHD8",4.3
"ABI1",0.98
"ABI2",1.24
"ABI3",0.95
"ABI3BP",0.77
"ABL1",1.41
"ABL2",1.53
"ABLIM1",0.94
"ABLIM2",1.86
"ABLIM3",0.9
"ABO",1.04
"ABR",2.68
"ABRA",1.16
"ABRACL",2.38
"ABT1",2.19
"ABTB1",4.69
"ABTB2",1.54
"ACAA1",2.44
"ACAA2",1.26
"ACACA",1.34
"ACACB",1.04
"ACAD10",1.64
"ACAD11",0.94
"ACAD8",1.19
"ACAD9",2.63
"ACADL",0.83
"ACADM",1.21
"ACADS",2.97
"ACADSB",1
"ACADVL",15.18
"ACAN",0.79
"ACAP1",2.89
"ACAP2",1.08
"ACAP3",4.05
"ACAT1",1.37
"ACAT2",2
"ACBD3",1.73
"ACBD4",4.5
"ACBD5",1.27
"ACBD6",1.15
"ACBD7",1.12
"ACBD7-DCLRE1CP1",0.98
"ACCS",1.98
"ACCSL",0.93
"ACD",4.61
"ACE",1.57
"ACE2",0.87
"ACER1",1.12
"ACER2",1.08
"ACER3",0.92
"ACHE",9.51
"ACIN1",3.03
"ACKR1",1.27
"ACKR2",0.94
"ACKR3",1.98
"ACKR4",0.73
"ACLY",3.73
"ACMSD",0.91
"ACO1",1.21
"ACO2",7.38
"ACOD1",0.81
"ACOT1",1.11
"ACOT11",1.48
"ACOT12",0.87
"ACOT13",1.34
"ACOT2",1.89
"ACOT4",1.58
"ACOT6",0.81
"ACOT7",1.55
"ACOT8",1.97
"ACOT9",1.27
"ACOX1",1.57
"ACOX2",0.96
"ACOX3",1.81
"ACOXL",0.92
"ACOXL-AS1",1.01
"ACP1",1.24
"ACP2",7.08
"ACP5",2.25
"ACP6",1.65
"ACP7",1.13
"ACPP",1.08
"ACPT",22.92
"ACR",0.79
"ACRBP",1.17
"ACRV1",1.49
"ACSBG1",1.01
"ACSBG2",1.17
"ACSF2",1.79
"ACSF3",4.61
"ACSL1",1.14
"ACSL3",1.7
"ACSL4",0.82
"ACSL5",0.97
"ACSL6",0.77
"ACSM1",0.82
"ACSM2A",0.77
"ACSM2B",0.84
"ACSM3",0.89
"ACSM4",0.84
"ACSM5",0.91
"ACSM6",0.88
"ACSS1",0.98
"ACSS2",1.28
"ACSS3",0.83
"ACTA1",1.78
"ACTA2",0.87
"ACTA2-AS1",0.93
"ACTB",56.25
"ACTBL2",1.05
"ACTC1",0.9
"ACTG1",28.78
"ACTG1P17",0.99
"ACTG1P20",1.61
"ACTG1P4",1.06
"ACTG2",0.9
"ACTL10",9.91
"ACTL6A",1.58
"ACTL6B",3.4
"ACTL7A",2.07
"ACTL7B",1.2
"ACTL8",0.98
"ACTL9",1.24
"ACTN1",3.8
"ACTN1-AS1",3.71
"ACTN2",0.84
"ACTN3",1.36
"ACTN4",6.86
"ACTR10",1.14
"ACTR1A",1.79
"ACTR1B",4.75
"ACTR2",1.96
"ACTR3",1.47
"ACTR3B",1.42
"ACTR3BP2",0.64
"ACTR3BP5",0.62
"ACTR3C",1.4
"ACTR5",1.09
"ACTR6",1.2
"ACTR8",1.53
"ACTRT1",0.97
"ACTRT2",0.84
"ACTRT3",1.52
"ACVR1",1.21
"ACVR1B",2.02
"ACVR1C",0.78
"ACVR2A",1.03
"ACVR2B",1.58
"ACVR2B-AS1",3.12
"ACVRL1",0.87
"ACY1",9.24
"ACY3",0.74
"ACYP1",1.13
"ACYP2",0.93
"ADA",1.19
"ADAD1",0.77
"ADAD2",0.83
"ADAL",1.15
"ADAM10",1.09
"ADAM11",2.98
"ADAM12",0.85
"ADAM15",2.78
"ADAM17",1.42
"ADAM18",0.87
"ADAM19",0.93
"ADAM1A",7.21
"ADAM2",0.9
"ADAM20",0.9
"ADAM20P1",1.29
"ADAM21",0.73
"ADAM21P1",0.78
"ADAM22",0.83
"ADAM23",0.79
"ADAM28",0.86
"ADAM29",0.79
"ADAM30",0.88
"ADAM32",0.97
"ADAM33",0.86
"ADAM3A",0.88
"ADAM3B",0.93
"ADAM5",0.86
"ADAM6",0.86
"ADAM7",0.85
"ADAM8",3.29
"ADAM9",1.13
"ADAMDEC1",0.84
