"gene","top1_density"
"36951",1.14
"37135",1.04
"37226",1.07
"37316",1.15
"37500",1.2
"37681",1.06
"37865",1.09
"38047",1.08
"38231",0.96
"38412",1.2
"38596",0.93
"38777",1.22
"38961",1.07
"39142",1.23
"39326",1.18
"39508",1.09
"39692",1
"39873",0.92
"40057",1.25
"40238",1.11
"40422",1.13
"40603",1.06
"40787",1.13
"41153",0.98
"41883",1.12
"A1BG",1.07
"A1BG-AS1",1.29
"A1CF",1.1
"A2M",1.09
"A2M-AS1",1.1
"A2ML1",1.09
"A2MP1",1.11
"A3GALT2",1.15
"A4GALT",1.29
"A4GNT",1.11
"AA06",1
"AAAS",1.09
"AACS",1.09
"AACSP1",1.09
"AADAC",1.15
"AADACL2",1.03
"AADACL2-AS1",1.08
"AADACL3",1.11
"AADACL4",1.01
"AADACP1",1.06
"AADAT",1.08
"AAED1",1.1
"AAGAB",1.14
"AAK1",1.11
"AAMDC",1.07
"AAMP",1.17
"AANAT",1.22
"AAR2",1.27
"AARD",1.19
"AARS",1.3
"AARS2",1.15
"AARSD1",1.14
"AASDH",1.13
"AASDHPPT",1.08
"AASS",1.12
"AATBC",1.35
"AATF",1.15
"AATK",1.04
"AATK-AS1",1.16
"ABALON",1.43
"ABAT",1.16
"ABCA1",1.07
"ABCA10",1.08
"ABCA11P",1.11
"ABCA12",1.05
"ABCA13",1.07
"ABCA17P",1.09
"ABCA2",0.99
"ABCA3",1.11
"ABCA4",1.04
"ABCA5",1.08
"ABCA6",1.09
"ABCA7",1.06
"ABCA8",1.06
"ABCA9",1.08
"ABCA9-AS1",1.01
"ABCB1",1.11
"ABCB10",1.1
"ABCB11",1.12
"ABCB4",1.1
"ABCB5",1.09
"ABCB6",1.04
"ABCB7",1.07
"ABCB8",1.09
"ABCB9",1.13
"ABCC1",1.1
"ABCC10",1.11
"ABCC11",1.03
"ABCC12",1.04
"ABCC13",1.25
"ABCC2",1.06
"ABCC3",1.15
"ABCC4",1.09
"ABCC5",1.19
"ABCC5-AS1",1.4
"ABCC6",1.13
"ABCC6P1",1.15
"ABCC6P2",1.2
"ABCC8",1.06
"ABCC9",1.04
"ABCD1",1.03
"ABCD2",1.09
"ABCD3",1.12
"ABCD4",1.12
"ABCE1",1.17
"ABCF1",1.15
"ABCF2",1.06
"ABCF3",1.12
"ABCG1",1.08
"ABCG2",1.08
"ABCG4",1.06
"ABCG5",1.05
"ABCG8",1.05
"ABHD1",1.23
"ABHD10",1.08
"ABHD11",1.4
"ABHD11-AS1",1.76
"ABHD12",1.17
"ABHD12B",1.09
"ABHD13",1.08
"ABHD14A",1.04
"ABHD14A-ACY1",1.11
"ABHD14B",1.06
"ABHD15",1.06
"ABHD16A",1.11
"ABHD16B",1.04
"ABHD17A",1.09
"ABHD17B",1.19
"ABHD17C",1.31
"ABHD18",1.13
"ABHD2",1.24
"ABHD3",1.13
"ABHD4",1.06
"ABHD5",1.13
"ABHD6",1.07
"ABHD8",1.04
"ABI1",1.17
"ABI2",1.2
"ABI3",1.22
"ABI3BP",1.11
"ABL1",1.14
"ABL2",1.17
"ABLIM1",1.09
"ABLIM2",1.07
"ABLIM3",1.06
"ABO",1.03
"ABR",1.09
"ABRA",1.32
"ABRACL",1.27
"ABT1",1.02
"ABTB1",1.19
"ABTB2",1.12
"ACAA1",1.19
"ACAA2",1.11
"ACACA",1.15
"ACACB",1.08
"ACAD10",1.11
"ACAD11",1.1
"ACAD8",1.02
"ACAD9",1.13
"ACADL",1.05
"ACADM",1.14
"ACADS",1.09
"ACADSB",1.15
"ACADVL",1.4
"ACAN",1.06
"ACAP1",1.17
"ACAP2",1.17
"ACAP3",1
"ACAT1",1.17
"ACAT2",1.19
"ACBD3",1.15
"ACBD4",1.04
"ACBD5",1.21
"ACBD6",1.16
"ACBD7",1.05
"ACBD7-DCLRE1CP1",1.1
"ACCS",1.03
"ACCSL",0.99
"ACD",1.02
"ACE",1.17
"ACE2",1.07
"ACER1",1.08
"ACER2",1.08
"ACER3",1.1
"ACHE",1.05
"ACIN1",1.2
"ACKR1",0.93
"ACKR2",1.11
"ACKR3",1.29
"ACKR4",1.24
"ACLY",1.15
"ACMSD",1.06
"ACO1",1.08
"ACO2",1.16
"ACOD1",1.02
"ACOT1",1.05
"ACOT11",1.07
"ACOT12",1.09
"ACOT13",1.2
"ACOT2",1.16
"ACOT4",1.12
"ACOT6",1.09
"ACOT7",1.1
"ACOT8",1.07
"ACOT9",1.07
"ACOX1",1.28
"ACOX2",1.07
"ACOX3",1.07
"ACOXL",1.09
"ACOXL-AS1",1.12
"ACP1",1
"ACP2",1.19
"ACP5",1.13
"ACP6",1.04
"ACP7",1.14
"ACPP",1.1
"ACPT",2.27
"ACR",0.94
"ACRBP",1.21
"ACRV1",1.16
"ACSBG1",1.07
"ACSBG2",1.05
"ACSF2",1.08
"ACSF3",1.13
"ACSL1",1.1
"ACSL3",1.35
"ACSL4",1.11
"ACSL5",1.09
"ACSL6",1.08
"ACSM1",1.08
"ACSM2A",1.06
"ACSM2B",1.09
"ACSM3",1.12
"ACSM4",1.03
"ACSM5",1.06
"ACSM6",1.08
"ACSS1",1.12
"ACSS2",1.06
"ACSS3",1.1
"ACTA1",1.04
"ACTA2",1.07
"ACTA2-AS1",1.04
"ACTB",5.21
"ACTBL2",0.97
"ACTC1",0.99
"ACTG1",4.57
"ACTG1P17",1.13
"ACTG1P20",0.91
"ACTG1P4",1.16
"ACTG2",1.09
"ACTL10",1.28
"ACTL6A",1.19
"ACTL6B",1.15
"ACTL7A",1.45
"ACTL7B",0.99
"ACTL8",1.1
"ACTL9",1.18
"ACTN1",1.18
"ACTN1-AS1",1.03
"ACTN2",1.11
"ACTN3",1.19
"ACTN4",1.4
"ACTR10",1.08
"ACTR1A",1.09
"ACTR1B",1.14
"ACTR2",1.25
"ACTR3",1.21
"ACTR3B",1.13
"ACTR3BP2",0.89
"ACTR3BP5",0.8
"ACTR3C",1.09
"ACTR5",1.04
"ACTR6",1.1
"ACTR8",1.09
"ACTRT1",1.14
"ACTRT2",1.07
"ACTRT3",1.24
"ACVR1",1.1
"ACVR1B",1.18
"ACVR1C",1.07
"ACVR2A",1.12
"ACVR2B",1.12
"ACVR2B-AS1",1.2
"ACVRL1",1.09
"ACY1",1.22
"ACY3",1.05
"ACYP1",1.14
"ACYP2",1.09
"ADA",1.14
"ADAD1",1.09
"ADAD2",0.95
"ADAL",1.1
"ADAM10",1.16
"ADAM11",1.13
"ADAM12",1.07
"ADAM15",1.15
"ADAM17",1.16
"ADAM18",1.06
"ADAM19",1.06
"ADAM1A",1.19
"ADAM2",1.03
"ADAM20",1.15
"ADAM20P1",1.05
"ADAM21",1.12
"ADAM21P1",1.3
"ADAM22",1.12
"ADAM23",1.07
"ADAM28",1.05
"ADAM29",1.04
"ADAM30",1.17
"ADAM32",1.09
"ADAM33",1.01
"ADAM3A",1.09
"ADAM3B",1.32
"ADAM5",1.05
"ADAM6",0.99
"ADAM7",1.05
"ADAM8",1.13
"ADAM9",1.1
"ADAMDEC1",1.03
"ADAMTS1",1.07
"ADAMTS10",1.07
"ADAMTS12",1.06
"ADAMTS13",1.1
"ADAMTS14",1.03
"ADAMTS15",1.03
"ADAMTS16",1.09
"ADAMTS17",1.07
"ADAMTS18",1.13
"ADAMTS19",1.23
"ADAMTS19-AS1",1.08
"ADAMTS2",1.07
"ADAMTS20",1.1
"ADAMTS3",1.06
"ADAMTS4",1
"ADAMTS5",1.07
"ADAMTS6",1.09
"ADAMTS7",1.1
"ADAMTS7P1",1.09
"ADAMTS8",1.08
"ADAMTS9",1.05
