"gene","top1cc_density"
"36951",1.14
"37135",1.43
"37226",1.19
"37316",1.18
"37500",1.23
"37681",1.17
"37865",1.19
"38047",1.17
"38231",1.15
"38412",1.2
"38596",1.19
"38777",1.23
"38961",1.18
"39142",1.18
"39326",1.22
"39508",1.22
"39692",1.18
"39873",1.2
"40057",1.27
"40238",1.31
"40422",1.12
"40603",1.16
"40787",1.15
"41153",1.21
"41883",1.15
"A1BG",1.15
"A1BG-AS1",1.27
"A1CF",1.13
"A2M",1.14
"A2M-AS1",1.11
"A2ML1",1.14
"A2MP1",1.08
"A3GALT2",1.17
"A4GALT",1.35
"A4GNT",1.26
"AA06",1.1
"AAAS",1.26
"AACS",1.25
"AACSP1",1.27
"AADAC",1.17
"AADACL2",1.14
"AADACL2-AS1",1.2
"AADACL3",1.16
"AADACL4",1.15
"AADACP1",1.24
"AADAT",1.15
"AAED1",1.23
"AAGAB",1.2
"AAK1",1.18
"AAMDC",1.22
"AAMP",1.26
"AANAT",1.35
"AAR2",1.23
"AARD",1.12
"AARS",1.47
"AARS2",1.15
"AARSD1",1.16
"AASDH",1.12
"AASDHPPT",1.05
"AASS",1.13
"AATBC",1.2
"AATF",1.14
"AATK",1.23
"AATK-AS1",1.23
"ABALON",1.22
"ABAT",1.27
"ABCA1",1.22
"ABCA10",1.13
"ABCA11P",1.11
"ABCA12",1.14
"ABCA13",1.18
"ABCA17P",1.19
"ABCA2",1.19
"ABCA3",1.22
"ABCA4",1.12
"ABCA5",1.14
"ABCA6",1.17
"ABCA7",1.15
"ABCA8",1.21
"ABCA9",1.21
"ABCA9-AS1",1.12
"ABCB1",1.2
"ABCB10",1.19
"ABCB11",1.12
"ABCB4",1.2
"ABCB5",1.14
"ABCB6",1.27
"ABCB7",1.08
"ABCB8",1.27
"ABCB9",1.23
"ABCC1",1.15
"ABCC10",1.18
"ABCC11",1.12
"ABCC12",1.1
"ABCC13",1.13
"ABCC2",1.21
"ABCC3",1.2
"ABCC4",1.14
"ABCC5",1.25
"ABCC5-AS1",1.26
"ABCC6",1.21
"ABCC6P1",1.35
"ABCC6P2",1.31
"ABCC8",1.21
"ABCC9",1.13
"ABCD1",1.19
"ABCD2",1.15
"ABCD3",1.13
"ABCD4",1.27
"ABCE1",1.13
"ABCF1",1.12
"ABCF2",1.21
"ABCF3",1.29
"ABCG1",1.33
"ABCG2",1.16
