"gene","dsb_density","dsb_rank","dsb_empirical_p","dsb_z"
"SNORD3A",629387.505,1,3.87461738153357e-05,3.95202591032199
"SNORD3C",543092.44,2,7.74923476306715e-05,3.78294335451906
"SNORD135",149088.375,3,0.000116238521446007,3.68082882262195
"SNORD3B-1",126286.91,4,0.000154984695261343,3.60682262733818
"SNORD18A",74077.37,5,0.000193730869076679,3.54847978527494
"SNORD82",54020.12,6,0.000232477042892014,3.50017427011761
"RN7SL1",48814.93,7,0.00027122321670735,3.45887010892865
"SNORD27",47525.925,8,0.000309969390522686,3.42273765631212
"RN7SL2",45559.925,9,0.000348715564338022,3.39058700577904
"SNORD80",42867.625,10,0.000387461738153357,3.36159979874944
"RN7SK",42232.54,11,0.000426207911968693,3.33518854351184
"SNORD35A",31015.545,12,0.000464954085784029,3.31091690620452
"SNORD33",30788.715,13,0.000503700259599365,3.28845174592621
"SNORD76",28564.28,14,0.0005424464334147,3.26753282011564
"RNR2",27165.57,15,0.000581192607230036,3.24795287284664
"SNORD55",26522.84,16,0.000619938781045372,3.22954410319673
"SNORD74",25662.34,17,0.000658684954860708,3.21216870448152
"SNORD83B",25210.945,18,0.000697431128676043,3.19571208583088
"SNORD73A",24634.965,19,0.000736177302491379,3.18007791101838
"SNORD42B",23901.925,20,0.000774923476306715,3.16518439871518
"SNORA73B",22683.045,21,0.00081366965012205,3.15096151728611
"SNORD2",19388.665,22,0.000852415823937386,3.13734882612382
"SNORD3D",19313.89,23,0.000891161997752722,3.12429379228213
"SNORA73A",17077.24,24,0.000929908171568058,3.11175046190903
"SNORD24",16309.5,25,0.000968654345383393,3.09967840021619
"SNORD30",16204.25,26,0.00100740051919873,3.08804183726893
"SNORD79",15731.97,27,0.00104614669301406,3.07680897334765
"MIR6723",13669.89,28,0.0010848928668294,3.06595140933523
"RMRP",12982.14,29,0.00112363904064474,3.05544367601522
"MIR3609",12481.26,30,0.00116238521446007,3.04526284232477
"SNORD68",12402.285,31,0.00120113138827541,3.03538818715643
"TALAM1",12163.575,32,0.00123987756209074,3.02580092270327
"SNORD104",12119.67,33,0.00127862373590608,3.01648395991187
"MALAT1",11446.9,34,0.00131736990972142,3.00742170856412
"SNORD99",11106.135,35,0.00135611608353675,2.99859990601767
"SNORD57",10821.135,36,0.00139486225735209,2.99000546980234
"SNORD29",10324.89,37,0.00143360843116742,2.98162637018568
"SNORD110",10130.085,38,0.00147235460498276,2.97345151954021
"RNU4-2",9816.235,39,0.00151110077879809,2.96547067591723
"SNORD17",9334.675,40,0.00154984695261343,2.95767435868881
"SNORD41",9299.045,41,0.00158859312642877,2.95005377448549
"SNORD13",8343.6,42,0.0016273393002441,2.94260075195547
"MIR1291",8024.04,43,0.00166608547405944,2.93530768411046
"SNORD26",7599.46,44,0.00170483164787477,2.92816747722201
"MIR663A",7261.665,45,0.00174357782169011,2.92117350539292
"SNHG25",6907.745,46,0.00178232399550544,2.91431957006232
"SNORD62A",6645.24,47,0.00182107016932078,2.90759986381402
"RNU4-1",6604.12,48,0.00185981634313612,2.90100893794937
"SNORD28",6133.865,49,0.00189856251695145,2.89454167336358
"SNORD87",6061.7,50,0.00193730869076679,2.88819325432865
"RNU6-1",5930.525,51,0.00197605486458212,2.88195914484108
"SNORD21",5717.16,52,0.00201480103839746,2.87583506723822
"SCARNA28",5467.165,53,0.00205354721221279,2.86981698282669
"RNU6ATAC",5389.96,54,0.00209229338602813,2.86390107429923
"SNORD15A",5344.23,55,0.00213103955984347,2.85808372974501
"SNORD10",5309.375,56,0.0021697857336588,2.85236152808307
"RPPH1",5175.16,57,0.00220853190747414,2.84673122576875
"SNAR-A10",5152.75,58,0.00224727808128947,2.8411897446422
"RNU1-1",4996.515,59,0.00228602425510481,2.83573416080236
"SNORD22",4958.975,60,0.00232477042892014,2.83036169440464
"SNORD32A",4917.75,61,0.00236351660273548,2.82506970029094
"SNORD47",4909.275,62,0.00240226277655082,2.81985565937237
"SNORD1C",4832.525,63,0.00244100895036615,2.81471717069242
"SNORD127",4679.05,64,0.00247975512418149,2.80965194410738
"SNORD96A",4530.045,65,0.00251850129799682,2.80465779352707
"RNVU1-7",4488.47,66,0.00255724747181216,2.79973263066497
"SNORD14B",4455.485,67,0.00259599364562749,2.7948744592524
"RNU11",4221.305,68,0.00263473981944283,2.79008136967574
"SNORD88C",4206.25,69,0.00267348599325817,2.78535153400029
"SNORD12",3911.46,70,0.0027122321670735,2.78068320134735
"RNVU1-14",3806.41,71,0.00275097834088884,2.7760746935952
"SNORA71D",3733.68,72,0.00278972451470417,2.77152440137672
"SNORD83A",3695.715,73,0.00282847068851951,2.76703078034949
"SNORD88A",3620.295,74,0.00286721686233484,2.7625923477165
"SNORD50A",3610.835,75,0.00290596303615018,2.75820767897715
"SNORD77",3555.84,76,0.00294470920996552,2.75387540489087
"SNORD42A",3399.64,77,0.00298345538378085,2.74959420863635
"SNORD4A",3397.53,78,0.00302220155759619,2.745362823152
"RNU4ATAC",3317.385,79,0.00306094773141152,2.74118002864325
"HBB",3294.505,80,0.00309969390522686,2.73704465024485
"GAS5",3144.235,81,0.00313844007904219,2.73295555582638
"RPL41",3134.53,82,0.00317718625285753,2.72891165393054
"MIR671",3010.51,83,0.00321593242667287,2.72491189183491
"MTRNR2L2",2966.75,84,0.0032546786004882,2.72095525372812
"SNORD37",2870.56,85,0.00329342477430354,2.71704075899261
"MIR3607",2755.775,86,0.00333217094811887,2.7131674605864
"NEAT1",2640.585,87,0.00337091712193421,2.70933444351724
"RNY1",2633.775,88,0.00340966329574954,2.70554082340273
"MIR21",2626.72,89,0.00344840946956488,2.70178574511076
"SCARNA2",2596.385,90,0.00348715564338022,2.69806838147489
"SNORA65",2581.28,91,0.00352590181719555,2.69438793207969
"SNORD95",2556.495,92,0.00356464799101089,2.69074362211168
"SNORD111",2556.07,93,0.00360339416482622,2.68713470127143
"SNHG1",2551.695,94,0.00364214033864156,2.68356044274319
"SNORD59A",2507.845,95,0.0036808865124569,2.68002014221814
"SNORD78",2505.25,96,0.00371963268627223,2.67651311696829
"SNORD35B",2498.695,97,0.00375837886008757,2.67303870496751
"SNORD14A",2364.355,98,0.0037971250339029,2.6695962640572
"SNORD38B",2362.095,99,0.00383587120771824,2.66618517115365
"SNORD45B",2296.48,100,0.00387461738153357,2.6628048214947
"SNORD45A",2269.465,101,0.00391336355534891,2.65945462792339
"SNORD60",2262.13,102,0.00395210972916425,2.65613402020639
"SNAR-A1",2212.32,103,0.00399085590297958,2.65284244438533
"ACTB",2204.19,104,0.00402960207679492,2.64957936215882
"MTRNR2L8",2154.06,105,0.00406834825061025,2.64634425029391
"MIR6835",2119.83,106,0.00410709442442559,2.64313660006482
"RNY3",2112.4,107,0.00414584059824092,2.63995591671783
"SNORA61",2090.43,108,0.00418458677205626,2.63680171896063
"MIR6501",2017.82,109,0.0042233329458716,2.63367353847488
"MIR1204",2009.335,110,0.00426207911968693,2.6305709194508
"MT2A",2007.26,111,0.00430082529350227,2.62749341814238
"SNAR-A12",1997.66,112,0.0043395714673176,2.62444060244246
"SCARNA7",1985.945,113,0.00437831764113294,2.62141205147626
"SNORD88B",1956.64,114,0.00441706381494827,2.61840735521266
"SNORD81",1839.595,115,0.00445580998876361,2.61542611409217
"SNHG3",1837.715,116,0.00449455616257895,2.61246793867085
"SNORA66",1825.06,117,0.00453330233639428,2.60953244927926
"MIR3925",1766.525,118,0.00457204851020962,2.60661927569565
"SNORD69",1744.33,119,0.00461079468402495,2.60372805683293
"SNORD52",1695.86,120,0.00464954085784029,2.60085844043831
"LOC100190986",1693.825,121,0.00468828703165562,2.5980100828055
"SNORD58A",1661.425,122,0.00472703320547096,2.59518264849833
"SUMO1P1",1625.495,123,0.0047657793792863,2.59237581008572
"SNORA21",1615.095,124,0.00480452555310163,2.58958924788703
"SNORD31",1580.825,125,0.00484327172691697,2.58682264972765
"RPL13A",1518.13,126,0.0048820179007323,2.5840757107041
"SNORD133",1502.655,127,0.00492076407454764,2.5813481329583
"LOC100131496",1420.475,128,0.00495951024836297,2.57863962546063
"SNORD118",1403.85,129,0.00499825642217831,2.57594990380121
"MIR4722",1355.3,130,0.00503700259599365,2.5732786899892
"MIR612",1352.815,131,0.00507574876980898,2.57062571225963
"TBX2",1336.43,132,0.00511449494362432,2.56799070488757
"MIR6732",1336.38,133,0.00515324111743965,2.56537340800905
"RPL4",1309.205,134,0.00519198729125499,2.56277356744875
"SNORD15B",1308.35,135,0.00523073346507032,2.56019093455392
"MIR6815",1305.52,136,0.00526947963888566,2.55762526603433
"RNVU1-19",1301.97,137,0.005308225812701,2.5550763238081
"RNY5",1276.47,138,0.00534697198651633,2.55254387485291
"SNORD14C",1238.55,139,0.00538571816033167,2.55002769106263
"PARD6B",1232.91,140,0.005424464334147,2.54752754910893
"SNORD8",1231.645,141,0.00546321050796234,2.54504323030782
"SNORA68",1212.4,142,0.00550195668177767,2.54257452049079
"SNORD58B",1208.095,143,0.00554070285559301,2.54012120988038
"SNORA64",1203.415,144,0.00557944902940835,2.53768309297012
"MIR3185",1173.075,145,0.00561819520322368,2.53525996840841
"MIR6775",1156.32,146,0.00565694137703902,2.53285163888657
"C17ORF82",1152.275,147,0.00569568755085435,2.53045791103036
"SNORD18B",1148.155,148,0.00573443372466969,2.52807859529539
"SNORD6",1140.23,149,0.00577317989848502,2.52571350586583
"SNORA23",1139.07,150,0.00581192607230036,2.52336246055654
"RNU5E-1",1138.625,151,0.0058506722461157,2.52102528071838
"SNORD119",1136.4,152,0.00588941841993103,2.51870179114659
"SNORD49B",1124.805,153,0.00592816459374637,2.51639181999216
"MIR1322",1124.2,154,0.0059669107675617,2.51409519867601
"PTMA",1123.51,155,0.00600565694137704,2.51181176180594
"MIR941-2",1116.705,156,0.00604440311519238,2.50954134709617
"VTRNA1-1",1107.62,157,0.00608314928900771,2.50728379528949
"TIAF1",1080.385,158,0.00612189546282305,2.50503895008174
"SNORD16",1079.97,159,0.00616064163663838,2.50280665804873
"BMP7-AS1",1065.44,160,0.00619938781045372,2.50058676857536
"BMP7",1051.29,161,0.00623813398426905,2.49837913378695
"RACK1",1047.365,162,0.00627688015808439,2.49618360848264
"MTRNR2L9",1036.205,163,0.00631562633189973,2.49400005007083
"ZNF217",1025.03,164,0.00635437250571506,2.49182831850654
"SNORD90",1020.66,165,0.0063931186795304,2.48966827623069
"SNORA70",1000.425,166,0.00643186485334573,2.48751978811114
"MIR3190",999.285,167,0.00647061102716107,2.48538272138549
"SNORA67",994.29,168,0.0065093572009764,2.48325694560559
"TBX2-AS1",991.49,169,0.00654810337479174,2.48114233258362
"NCOA3",951.51,170,0.00658684954860708,2.47903875633979
"MIR6515",950.27,171,0.00662559572242241,2.47694609305152
"LOC101927855",929.97,172,0.00666434189623775,2.47486422100408
"SNORD70",928.915,173,0.00670308807005308,2.47279302054266
"RPL23A",924.775,174,0.00674183424386842,2.47073237402578
