"gene","expression"
"MT-RNR2",46874.5133333333
"MT-CO1",18859.7483333333
"MT-CO2",18830.5283333333
"MT-ND4L",16031.46
"MT-ND4",9925.68166666667
"MT-RNR1",9482.97833333333
"7SK",8341.02
"MT-ATP6",8080.47666666667
"RPS29",6433.845
"MT-ND5",5966.05166666667
"RPL30",5863.37333333333
"RPL41",5622.96166666667
"RPS21",5516.98166666667
"MT-CO3",5292.72666666667
"MT-CYB",5245.26166666667
"EEF1A1",5153.82833333333
"MT-ND2",5152.57666666667
"RPL41P1",4195.12666666667
"RPL39",3760.22166666667
"RPL26",3743.85
"RPS27",3670.40666666667
"PPIA",3332.12333333333
"KRT8",2987.46166666667
"RPS24",2748.16166666667
"RPS15A",2680.735
"GAPDH",2549.37666666667
"RPL12",2460.925
"RPS18",2460.205
"MT-ND1",2378.31333333333
"MT-ND6",2262.99166666667
"RPS3",2164.45666666667
"RPS11",2163.20166666667
"RPS3A",2105.3
"RPS20",1965.55166666667
"RPS12",1963.05
"RPL35",1921.36
"RPS23",1843.315
"RPS25",1818.45833333333
"RPL36A",1724.02666666667
"RPL11",1695.96333333333
"RPL7",1630.7
"RPL10",1593.26166666667
"TPT1",1589.80166666667
"RPL23AP42",1506.865
"MYL6",1493.13833333333
"RPS14",1483.71833333333
"RPL27",1474.52166666667
"RPS10",1470.19666666667
"KRT18",1464.74833333333
"RAN",1455.58166666667
"NPM1",1448.32333333333
"RPL6",1437.30666666667
"RPL7A",1435.085
"ACTB",1406.14
"TMSB4X",1372.82166666667
"HSP90AA1",1322.21833333333
"RPS17",1316.42833333333
"RPLP0",1299.58166666667
"TFF1",1291.565
"PABPC1",1272.68666666667
"TUBA1B",1254.56166666667
"RPL10A",1172.87333333333
"H3-3B",1130.56166666667
"RPL15",1109.73
"RPS2",1109.64166666667
"RPS16",1080.68166666667
"PSMD6",1079.25666666667
"HSPA8",1056.805
"MTCO1P12",1055.18166666667
"EEF1G",1046.59166666667
"PTMA",1042.1
"MT-ND3",1035.365
"RPS27A",1027.21833333333
"RPL29",1015.49333333333
"ATP5MF",1013.48166666667
"S100A11",999.166666666667
"RPL4",997.626666666667
"RACK1",954.951666666667
"DDX5",954.861666666667
"RPS4X",949.78
"ACTG1",948.508333333333
"RPL32",929.886666666667
"CFL1",908.86
"RPS5",901.94
"RPSA",877.068333333333
"SPTSSB",873.053333333333
"SLC25A5",870.74
"EIF4A1",865.641666666667
"RPL13A",855.24
"RPS7",840.3
"EEF1B2",834.19
"KRT19",833.051666666667
"RPS6",825.216666666667
"RPL3",823.738333333333
"UBA52",805.578333333333
"RPL23A",799.538333333333
"CSDE1",795.976666666667
"FTH1",792.788333333333
"SCARNA7",790.808333333333
"COX6C",785.418333333333
"CALM2",771.323333333333
"UBB",764.718333333333
"RPL9",745.181666666667
"HSPB1",726.763333333333
"RPL31",723.826666666667
"GNAS",704.493333333333
"UBC",695.816666666667
"RPL24",694.515
"RPL34",691.563333333333
"RPL37A",689.115
"MYL12B",688.988333333333
"RPL13",672.193333333333
"HNRNPA2B1",661.556666666667
"TUBA1C",651.141666666667
"TMSB10",650.876666666667
"HMGN2",645.531666666667
"RPL19",645.146666666667
"COX4I1",640.571666666667
"DSCAM-AS1",631.651666666667
"RPL17",628.171666666667
"PKM",626.101666666667
"RPS8",622.83
"RPL18A",611.533333333333
"NME2",603.913333333333
"ATP5F1B",593.035
"PFDN4",589.073333333333
"MALAT1",584.091666666667
"COX7C",569.095
"BTF3",546.918333333333
"HSP90AB1",543.84
"RPL8",543.813333333333
"RPL23",537.48
"VMP1",533.433333333333
"H2AZ1",529.601666666667
"EIF3E",524.645
"UQCRH",524.443333333333
"RPS19",515.228333333333
"RPS9",513.163333333333
"TMBIM6",512.55
"HNRNPA1",506.421666666667
"AGR2",502.333333333333
"COX6A1",497.663333333333
"NDUFS5",492.963333333333
"RPS26P6",491.185
"GAS5",488.975
"PFN1",483.513333333333
"PSMB4",478.768333333333
"ENO1",476.07
"YWHAZ",472.636666666667
"TPM4",472.415
"RPL35A",470.885
"THOC7",467.171666666667
"EDF1",464.828333333333
"RPL18",464.203333333333
"TUBB",456.27
"HMGB1",443.958333333333
"RPS13",442.535
"PSMB1",435.665
"XBP1",431.735
"SNRPG",430.288333333333
"EIF4B",423
"YWHAE",421.596666666667
"CLTC",421.396666666667
"ANXA2",419.008333333333
"EEF2",415.028333333333
"HNRNPH1",409.51
"NDUFB9",408.676666666667
"RPL5",407.278333333333
"NCL",406.846666666667
"CD9",406.105
"TRIM37",405.935
"LAPTM4A",405.568333333333
"AP2M1",403.943333333333
"ALDOA",400.521666666667
"PSMA4",399.013333333333
"RPL21",397.743333333333
"HSPE1",397.588333333333
"NDUFB1",394.748333333333
"NEDD8",394.601666666667
"TUBB4B",380.025
"MYL12A",379.806666666667
"HINT1",375.12
"HMGN1",372.291666666667
"HNRNPC",369.708333333333
"KPNA2",367.805
"MORF4L2",365.096666666667
"CD63",363.988333333333
"AHSA1",356.66
"SET",354.595
"RPL21P16",351.925
"PFDN5",350.781666666667
"SRP9",348.565
"ILF2",347.74
"SOD1",347.673333333333
"TXN",346.176666666667
"SSR2",344.368333333333
"CLU",342.836666666667
"TPI1",341.141666666667
"B2M",340.626666666667
"SRSF5",339.125
"TMA7",337.586666666667
"EIF3C",336.273333333333
"RPL37",332.921666666667
"UGDH",332.916666666667
"SEC61G",331.838333333333
"YBX1",331.718333333333
"RPL38",330.336666666667
"CALR",328.628333333333
"RPL36AL",324.181666666667
"SKP1",321.925
"CALM1",320.056666666667
"BCAS2",319.77
"HNRNPK",317.39
"BANF1",317.19
"S100A10",316.223333333333
"RPL41P2",315.686666666667
"ARL6IP1",315.223333333333
"CCT5",315.16
"CANX",314.341666666667
"ATP5MK",313.168333333333
"YWHAQ",312.981666666667
"ATP1A1",311.641666666667
"HMGB2",310.201666666667
"RPLP1",309.058333333333
"PSMC5",306.77
"CCT3",305.988333333333
"RAC1",303.388333333333
"PSMB7",302.518333333333
"SLC25A3",299.535
"PSMA3",298.688333333333
"UBL5",298.153333333333
"PCBP2",296.246666666667
"SLC39A6",295.513333333333
"SNHG5",294.963333333333
"CKS2",294.566666666667
"HNRNPA3",291.311666666667
"SF3B1",289.143333333333
"ATP5MG",285.266666666667
"EIF4A2",285.036666666667
"ATP5PB",283.898333333333
"SNHG29",281.393333333333
"PSMA6",278.183333333333
"NDUFA13",276.958333333333
"COX7B",276.59
"FIS1",274.883333333333
"ATP5ME",273.961666666667
"ATP6V1G1",272.846666666667
"EEF1D",272.648333333333
"RPL36AP37",271.815
"RPL14",270.995
"TPM3",269.325
"NDUFAB1",268.503333333333
"DKK1",267.458333333333
"SNRPE",267.345
"ATP5PD",267.211666666667
"CCT2",262.311666666667
"RPS2P5",262.265
"CKS1B",261.585
"APEX1",261.145
"PRSS23",260.665
"PPIB",260.6
"SCD",258.863333333333
"PRDX1",258.608333333333
"CCND1",255.948333333333
"ATP5F1A",255.493333333333
"ATP5IF1",251.7
"GPRC5A",251.325
