"gene","rloop_density","rloop_rank","rloop_empirical_p","rloop_z"
"CDT1",62.22,1,3.71553838151148e-05,3.96204423605616
"APRT",59.96,2,7.43107676302296e-05,3.79336151245513
"SNORD32A",59.49,3,0.000111466151445344,3.69150352912403
"ACTB",56.25,4,0.000148621535260459,3.61769090831839
"SNORA68",50.81,5,0.000185776919075574,3.55950543936521
"MIR3188",50.47,6,0.000222932302890689,3.51133353521897
"SNORD134",46.11,7,0.000260087686705804,3.47014608025715
"EGR1",44.97,8,0.000297243070520918,3.43411763524301
"RNA5S9",44.53,9,0.000334398454336033,3.40206107084356
"RNA5S4",44.51,10,0.000371553838151148,3.37315996399904
"HCFC1R1",43.15,11,0.000408709221966263,3.34682822906588
"FOS",42.04,12,0.000445864605781378,3.32263058774533
"RNA5S5",41.93,13,0.000483019989596493,3.30023471300384
"MIR7641-2",41.83,14,0.000520175373411607,3.27938100383288
"RNA5S12",41.39,15,0.000557330757226722,3.25986271954274
"RNA5S7",41.35,16,0.000594486141041837,3.24151247964521
"PPDPF",40.87,17,0.000631641524856952,3.22419282528615
"SNORA10",40.6,18,0.000668796908672067,3.20778945683908
"RNA5S15",40.58,19,0.000705952292487181,3.19220628453488
"RNA5S2",40.37,20,0.000743107676302296,3.17736173757108
"RNA5S10",39.8,21,0.000780263060117411,3.16318596566212
"RPL18A",39.69,22,0.000817418443932526,3.1496186855998
"JUNB",39.14,23,0.000854573827747641,3.13660750198486
"SNORD34",39.07,24,0.000891729211562755,3.12410658191011
"THOC6",38.69,25,0.00092888459537787,3.11207559753676
"RPL13A",38.04,26,0.000966039979192985,3.10047887399428
"MRPS34",37.95,27,0.0010031953630081,3.08928469646595
"BICDL2",37.84,28,0.00104035074682321,3.07846474199566
"RNA5S1",37.73,29,0.00107750613063833,3.06799360996439
"HIST1H1E",37.49,30,0.00111466151445344,3.05784843132767
"P2RY11",37.23,31,0.00115181689826856,3.04800854124529
"SNORA78",37.15,32,0.00118897228208367,3.03845520312719
"UBC",37.07,33,0.00122612766589879,3.02917137468249
"SNHG9",36.53,34,0.0012632830497139,3.02014150851148
"NDUFB10",35.9,35,0.00130043843352902,3.0113513812843
"MIR6773",35.69,36,0.00133759381734413,3.00278794671615
"RNA5S11",35.21,37,0.00137474920115925,2.99443920846105
"EME2",34.71,38,0.00141190458497436,2.9862941097652
"RNF223",34.25,39,0.00144905996878948,2.97834243729091
"SNORD10",33.95,40,0.00148621535260459,2.97057473697791
"MIR937",33.93,41,0.00152337073641971,2.96298224017436
"PPAN-P2RY11",33.6,42,0.00156052612023482,2.95555679856664
"LOC105371184",33.38,43,0.00159768150404994,2.94829082667663
"SNORD33",32.55,44,0.00163483688786505,2.9411772508924
"TLCD1",32.25,45,0.00167199227168017,2.93420946415946
