"gene","top1_density","top1_rank","top1_empirical_p","top1_z"
"RNU4-1",12.78,1,3.71553838151148e-05,3.96204423605616
"HES1",10.05,2,7.43107676302296e-05,3.79336151245513
"TALAM1",9.91,3,0.000111466151445344,3.69150352912403
"RNVU1-7",9.86,4,0.000148621535260459,3.61769090831839
"MASCRNA",9.62,5,0.000185776919075574,3.55950543936521
"EGR1",9.19,6,0.000222932302890689,3.51133353521897
"MALAT1",8.91,7,0.000260087686705804,3.47014608025715
"RNU5A-1",8,8,0.000297243070520918,3.43411763524301
"HIST1H1C",7.98,9,0.000334398454336033,3.40206107084356
"RNU5B-1",7.98,10,0.000371553838151148,3.37315996399904
"MIR5087",7.85,11,0.000408709221966263,3.34682822906588
"HIST2H2AB",7.62,12,0.000445864605781378,3.32263058774533
"MIR21",7.62,13,0.000483019989596493,3.30023471300384
"HIST2H2AC",7.47,14,0.000520175373411607,3.27938100383288
"RNU1-1",7.35,15,0.000557330757226722,3.25986271954274
"HIST1H1E",7.32,16,0.000594486141041837,3.24151247964521
"RNU4-2",7.11,17,0.000631641524856952,3.22419282528615
"RNU5D-1",6.82,18,0.000668796908672067,3.20778945683908
"RNVU1-19",6.69,19,0.000705952292487181,3.19220628453488
"SNORD3A",6.65,20,0.000743107676302296,3.17736173757108
"HIST2H2AA3",6.6,21,0.000780263060117411,3.16318596566212
"AREG",6.56,22,0.000817418443932526,3.1496186855998
"MIR4429",6.53,23,0.000854573827747641,3.13660750198486
"SNORD3B-1",6.42,24,0.000891729211562755,3.12410658191011
"HIST1H1B",6.32,25,0.00092888459537787,3.11207559753676
"SNORD3D",6.02,26,0.000966039979192985,3.10047887399428
"SNORD3C",6.01,27,0.0010031953630081,3.08928469646595
"RNVU1-6",5.97,28,0.00104035074682321,3.07846474199566
"RNU5E-1",5.87,29,0.00107750613063833,3.06799360996439
"XBP1",5.76,30,0.00111466151445344,3.05784843132767
"SNORA70",5.73,31,0.00115181689826856,3.04800854124529
"HIST2H3A",5.61,32,0.00118897228208367,3.03845520312719
"HIST1H1D",5.56,33,0.00122612766589879,3.02917137468249
"RNU7-1",5.47,34,0.0012632830497139,3.02014150851148
"TFF1",5.41,35,0.00130043843352902,3.0113513812843
"HIST1H3G",5.34,36,0.00133759381734413,3.00278794671615
"LOC221946",5.33,37,0.00137474920115925,2.99443920846105
"HIST2H4A",5.31,38,0.00141190458497436,2.9862941097652
"SNORD118",5.29,39,0.00144905996878948,2.97834243729091
"ACTB",5.21,40,0.00148621535260459,2.97057473697791
"MIR3143",5.02,41,0.00152337073641971,2.96298224017436
"HIST1H2AI",4.88,42,0.00156052612023482,2.95555679856664
"HIST1H2BC",4.87,43,0.00159768150404994,2.94829082667663
"HIST1H3B",4.75,44,0.00163483688786505,2.9411772508924
"MIR5047",4.73,45,0.00167199227168017,2.93420946415946
"ACTG1",4.57,46,0.00170914765549528,2.92738128559308
"MIR4530",4.26,47,0.0017463030393104,2.92068692438247
"IER3",4.25,48,0.00178345842312551,2.91412094745007
"MIR3193",4.14,49,0.00182061380694063,2.90767825040526
"NEAT1",4.1,50,0.00185776919075574,2.90135403139755
"DSCAM-AS1",4.09,51,0.00189492457457086,2.8951437675275
"SNORD14B",4.09,52,0.00193207995838597,2.8890431935206
"HIST2H2BE",4.01,53,0.00196923534220108,2.88304828240773
"MCL1",3.96,54,0.0020063907260162,2.87715522798947
"SNHG3",3.96,55,0.00204354610983131,2.87136042888967
"MIR4480",3.95,56,0.00208070149364643,2.86566047402824
"HIST1H2AG",3.88,57,0.00211785687746154,2.86005212936388
"HIST1H2AJ",3.85,58,0.00215501226127666,2.85453232577537
"HIST1H3H",3.81,59,0.00219216764509177,2.84909814796616
"SNORD80",3.79,60,0.00222932302890689,2.84374682428969
"IFITM10",3.77,61,0.002266478412722,2.83847571740527
"HIST1H3D",3.76,62,0.00230363379653712,2.83328231568425
"SNORA31",3.76,63,0.00234078918035223,2.82816422529513
"HIST1H4B",3.75,64,0.00237794456416735,2.82311916290408
"JUNB",3.74,65,0.00241509994798246,2.81814494893436
"RNU11",3.74,66,0.00245225533179758,2.81323950133368
"MIR15B",3.7,67,0.00248941071561269,2.8084008298044
"MIR320B2",3.68,68,0.00252656609942781,2.80362703045569
"SNORD65",3.68,69,0.00256372148324292,2.79891628084111
"RNY5",3.63,70,0.00260087686705804,2.79426683534871
"FOS",3.56,71,0.00263803225087315,2.78967702091386
"RNVU1-14",3.55,72,0.00267518763468827,2.78514523302812
"HIST1H2BO",3.54,73,0.00271234301850338,2.78066993201978
"SNORA73A",3.47,74,0.0027494984023185,2.77624963958431
"JUN",3.45,75,0.00278665378613361,2.7718829355445
"STC2",3.45,76,0.00282380916994873,2.76756845482255
"HIST1H2AM",3.41,77,0.00286096455376384,2.76330488460743
"ELF3",3.4,78,0.00289811993757896,2.7590909617027
"MIR1539",3.39,79,0.00293527532139407,2.75492547004098
"MIR5684",3.39,80,0.00297243070520918,2.75080723835281
"SNORD20",3.38,81,0.0030095860890243,2.74673513797832
"HIST1H4K",3.34,82,0.00304674147283941,2.74270808081154
"ID1",3.34,83,0.00308389685665453,2.73872501736748
"HIST1H2AH",3.32,84,0.00312105224046964,2.73478493496364
"GATA3",3.31,85,0.00315820762428476,2.73088685600757
"HIST1H2AD",3.24,86,0.00319536300809987,2.72702983638334
"SNORD96A",3.21,87,0.00323251839191499,2.72321296392996
"GAS5-AS1",3.16,88,0.0032696737757301,2.71943535700575
"MIR4518",3.16,89,0.00330682915954522,2.71569616313256
"RPL10",3.16,90,0.00334398454336033,2.7119945577149
"SNORD33",3.11,91,0.00338113992717545,2.70832974282878
"C6ORF226",3.07,92,0.00341829531099056,2.70470094607593
"HIST1H2BF",3.06,93,0.00345545069480568,2.70110741949906
"RPPH1",3.06,94,0.00349260607862079,2.69754843855443
"HIST1H2AL",3.04,95,0.00352976146243591,2.69402330113799
"EGR3",3.03,96,0.00356691684625102,2.69053132666188
"HIST2H3D",3.02,97,0.00360407223006614,2.6870718551781
"IER5",3.01,98,0.00364122761388125,2.68364424654651
"MIR6734",3.01,99,0.00367838299769637,2.68024787964457
"ZFP36",2.99,100,0.00371553838151148,2.67688215161613
"SNORD18A",2.98,101,0.0037526937653266,2.67354647715722
"MIR554",2.97,102,0.00378984914914171,2.67024028783646
"MIR5695",2.96,103,0.00382700453295683,2.66696303144821
"MYC",2.96,104,0.00386415991677194,2.66371417139655
"RNU12",2.96,105,0.00390131530058706,2.66049318610828
"HIST1H4J",2.95,106,0.00393847068440217,2.65729956847347
"FLOT1",2.94,107,0.00397562606821728,2.65413282531178
"MIR1207",2.94,108,0.0040127814520324,2.65099247686341
"SPTSSB",2.92,109,0.00404993683584751,2.64787805630303
"UBC",2.92,110,0.00408709221966263,2.64478910927575
"H3F3B",2.88,111,0.00412424760347774,2.64172519345372
"RPL41",2.88,112,0.00416140298729286,2.63868587811235
"SNORD36C",2.88,113,0.00419855837110797,2.63567074372509
"SNORD76",2.88,114,0.00423571375492309,2.63267938157588
"HIST1H3I",2.87,115,0.0042728691387382,2.62971139338823
"SNORD62A",2.85,116,0.00431002452255332,2.62676639097014
"KRT18",2.83,117,0.00434717990636843,2.62384399587408
"HIST1H2BI",2.82,118,0.00438433529018355,2.62094383907122
"HIST1H2BN",2.82,119,0.00442149067399866,2.61806556063922
"MIR631",2.81,120,0.00445864605781378,2.61520880946287
"MIR1291",2.79,121,0.00449580144162889,2.61237324294705
"HIST4H4",2.78,122,0.00453295682544401,2.6095585267413
"PLK2",2.76,123,0.00457011220925912,2.60676433447541
"HSPB1",2.75,124,0.00460726759307424,2.60399034750571
"MIR6715A",2.75,125,0.00464442297688935,2.60123625467127
"MIR6715B",2.75,126,0.00468157836070447,2.59850175205976
"SNORD4B",2.75,127,0.00471873374451958,2.59578654278239
"SNORD60",2.75,128,0.0047558891283347,2.59309033675758
"HIST2H2BC",2.73,129,0.00479304451214981,2.59041285050292
"SNORD71",2.73,130,0.00483019989596492,2.58775380693507
"IER2",2.72,131,0.00486735527978004,2.58511293517716
"MIR6828",2.71,132,0.00490451066359516,2.58248997037347
"MIR8068",2.71,133,0.00494166604741027,2.57988465351099
"SNORD56B",2.69,134,0.00497882143122538,2.57729673124755
"ADAMTSL4-AS1",2.68,135,0.0050159768150405,2.57472595574628
"MIR376A1",2.67,136,0.00505313219885561,2.57217208451605
"NDUFB10",2.67,137,0.00509028758267073,2.5696348802577
"SNORD38B",2.67,138,0.00512744296648584,2.56711411071582
"SNORD53",2.67,139,0.00516459835030096,2.56460954853571
"MIR887",2.64,140,0.00520175373411607,2.56212097112546
"GAS5",2.63,141,0.00523890911793119,2.55964816052287
"HIST1H4H",2.62,142,0.0052760645017463,2.55719090326703
"MIR936",2.62,143,0.00531321988556142,2.5547489902742
"ROMO1",2.62,144,0.00535037526937653,2.55232221671815
"SNORD43",2.62,145,0.00538753065319165,2.54991038191447
"MIR3164",2.61,146,0.00542468603700676,2.54751328920878
"PCF11-AS1",2.61,147,0.00546184142082188,2.54513074586876
"SNORD18C",2.61,148,0.00549899680463699,2.54276256297981
"SNORD78",2.61,149,0.00553615218845211,2.54040855534402
"MIR4645",2.6,150,0.00557330757226722,2.53806854138273
"HIST1H4F",2.59,151,0.00561046295608234,2.53574234304197
"SNORD25",2.57,152,0.00564761833989745,2.53342978570126
"MIR3191",2.56,153,0.00568477372371257,2.53113069808516
"MIR4786",2.56,154,0.00572192910752768,2.52884491217777
"MIR4797",2.52,155,0.0057590844913428,2.52657226313991
"HIST1H4E",2.51,156,0.00579623987515791,2.52431258922891
"MIR3190",2.51,157,0.00583339525897303,2.522065731721
