"gene","top1cc_density","top1cc_rank","top1cc_empirical_p","top1cc_z"
"RNA18S5",27.63,1,3.71553838151148e-05,3.96204423605616
"RNA5-8S5",11.4,2,7.43107676302296e-05,3.79336151245513
"RNA45S5",11.21,3,0.000111466151445344,3.69150352912403
"HIST2H4A",6.93,4,0.000148621535260459,3.61769090831839
"RNA5S12",6.77,5,0.000185776919075574,3.55950543936521
"HIST2H2AA3",6.52,6,0.000222932302890689,3.51133353521897
"RNA5S5",6.5,7,0.000260087686705804,3.47014608025715
"HIST2H2AC",5.96,8,0.000297243070520918,3.43411763524301
"LOC100507412",5.66,9,0.000334398454336033,3.40206107084356
"RNVU1-7",4.45,10,0.000371553838151148,3.37315996399904
"HIST2H2AB",4.35,11,0.000408709221966263,3.34682822906588
"MIR21",4.3,12,0.000445864605781378,3.32263058774533
"TOP1P1",3.96,13,0.000483019989596493,3.30023471300384
"HIST2H2BC",3.78,14,0.000520175373411607,3.27938100383288
"MIR4737",3.76,15,0.000557330757226722,3.25986271954274
"EGR1",3.75,16,0.000594486141041837,3.24151247964521
"HIST1H3B",3.7,17,0.000631641524856952,3.22419282528615
"RNU4-2",3.58,18,0.000668796908672067,3.20778945683908
"RNU2-1",3.53,19,0.000705952292487181,3.19220628453488
"MIR3648-1",3.44,20,0.000743107676302296,3.17736173757108
"ACTB",3.43,21,0.000780263060117411,3.16318596566212
"MASCRNA",3.33,22,0.000817418443932526,3.1496186855998
"JUNB",3.29,23,0.000854573827747641,3.13660750198486
"HIST2H3D",3.24,24,0.000891729211562755,3.12410658191011
"MIR3687-1",3.24,25,0.00092888459537787,3.11207559753676
"HIST2H3A",3.2,26,0.000966039979192985,3.10047887399428
"RNU1-1",3.18,27,0.0010031953630081,3.08928469646595
"HES1",3.13,28,0.00104035074682321,3.07846474199566
"LOC606724",3.12,29,0.00107750613063833,3.06799360996439
"FOS",3.07,30,0.00111466151445344,3.05784843132767
"MIR6724-2",3.06,31,0.00115181689826856,3.04800854124529
"UBC",3.05,32,0.00118897228208367,3.03845520312719
"MIR6859-1",3.03,33,0.00122612766589879,3.02917137468249
"HIST1H2AJ",3,34,0.0012632830497139,3.02014150851148
"HIST1H1E",2.99,35,0.00130043843352902,3.0113513812843
"RNVU1-6",2.95,36,0.00133759381734413,3.00278794671615
