"symb","chr","start","end","strand","maxScore","cover","dens","maxScoreExt","coverExt","densExt"
"36951","chr1",220786696,220814399,"+",7,43229.63,1.56,10,59448.87,1.58
"36951","chr4",163524297,164383255,"-",18,724449.76,0.84,18,734380.04,0.85
"37135","chr16",30378132,30382850,"-",9.07,13904.19,2.95,16,45488.39,3.09
"37226","chr9",115141817,115402644,"+",5,199476.75,0.76,5,206813.4,0.76
"37316","chr19",8413302,8439015,"+",6.05,41091.3,1.6,12,65391.03,1.83
"37316","chr1",220748245,220784815,"+",6,39395.02,1.08,10,55553.28,1.19
"37500","chr2",241315860,241354026,"+",15,80532.82,2.11,16,115279.58,2.39
"37681","chr5",126867713,127030808,"-",5,150615.33,0.92,8,161780.26,0.93
"37865","chr22",41976926,41998221,"+",4,25708.07,1.21,5.47,43820.35,1.4
"38047","chr2",216257861,216372027,"-",5,97979.99,0.86,5,106648.36,0.86
"38231","chr17",58520249,58529467,"-",9,15758.94,1.71,9,28187.96,1.47
"38412","chr10",92291162,92353964,"+",8.31,91444.71,1.46,8.31,105726.67,1.45
"38596","chr22",19714463,19723322,"+",12.76,35453.99,4,16,78301.69,4.15
"38777","chr5",10353638,10440388,"+",9,125751.26,1.45,9,140543.03,1.45
"38961","chrX",119615724,119693370,"-",5,74821.36,0.96,5,84305.51,0.96
"39142","chr2",159712456,159768583,"+",14,90781.13,1.62,20,106311.36,1.61
"39326","chr7",35800985,35907105,"+",8.5,136931.18,1.29,8.5,150662.02,1.3
"39508","chr10",45454584,45594906,"-",3.78,120297.03,0.86,3.78,129829.11,0.86
"39692","chr5",132756003,132777375,"-",9.11,42917.79,2.01,9.11,57534.29,1.83
"39873","chr12",57755097,57760410,"+",15.23,19451.98,3.66,23.69,80974.01,5.29
"40057","chr17",77281409,77500596,"+",29,889511.02,4.06,29,946143.27,4.13
"40238","chr17",62701313,62808381,"-",6,106227.18,0.99,6,116136.66,0.99
"40422","chr2",109542796,109613657,"-",20,72046.44,1.02,20,101530.25,1.26
"40603","chr5",16067364,16179788,"-",4,86502.08,0.77,4,95307.66,0.78
"40787","chr4",76949713,77038615,"+",7.56,113550.96,1.28,7.56,132373.18,1.34
"41153","chr16",4777613,4788521,"-",4,12122.84,1.11,7,28392.36,1.36
"41883","chr7",55793543,55862789,"-",5,61676.91,0.89,5,70219.81,0.89
"A1BG","chr19",58346805,58353499,"-",9.07,18352.34,2.74,18,57091.36,3.42
"A1BG-AS1","chr19",58351969,58355183,"+",10,12768.44,3.97,18,56296.47,4.26
"A1CF","chr10",50799408,50885675,"-",3.02,69933.58,0.81,3.02,78409.89,0.81
"A2M","chr12",9067707,9116229,"-",3.04,38687.57,0.8,6,52973.93,0.91
"A2M-AS1","chr12",9065176,9068055,"+",5,6117.6,2.12,6,16990.44,1.32
"A2ML1","chr12",8822471,8876781,"+",4.53,48983.1,0.9,4.53,59062.1,0.92
"A2MP1","chr12",9228532,9234207,"-",3.02,4998.26,0.88,3.02,13866.65,0.88
"A3GALT2","chr1",33306765,33321098,"-",9.07,26942.38,1.88,15,58692.86,2.41
"A4GALT","chr22",42692114,42721301,"-",25,200386.85,6.87,25.39,299138.79,7.63
"A4GNT","chr3",138123717,138132387,"-",2,6339.13,0.73,2.27,14320.87,0.77
"AA06","chr17",33529786,33533760,"-",1.51,3185.77,0.8,3.02,13289.45,0.95
"AAAS","chr12",53307455,53321628,"-",11.54,25364.79,1.79,20,75436.2,3.12
"AACS","chr12",125065366,125143333,"+",28,196166.16,2.52,28,218624.26,2.49
"AACSP1","chr5",178764860,178818435,"-",4,48023.93,0.9,4,56361.11,0.89
"AADAC","chr3",151814072,151828488,"+",3,10281.71,0.71,3,17711.45,0.73
"AADACL2","chr3",151733915,151757768,"+",4,15866.84,0.67,4,24335.28,0.72
"AADACL2-AS1","chr3",151751178,151928175,"-",3.04,130467.51,0.74,3.04,137314.52,0.73
"AADACL3","chr1",12716114,12728759,"+",4,12021.8,0.95,4,20766.82,0.92
"AADACL4","chr1",12644546,12667086,"+",5,20794.41,0.92,5,29421.85,0.9
"AADACP1","chr3",151770455,151784894,"+",2.43,9438.39,0.65,3.04,16566.98,0.68
"AADAT","chr4",170060221,170090221,"-",5.29,30490.05,1.02,5.29,40869.99,1.02
"AAED1","chr9",96641250,96655317,"-",6.07,20383.5,1.45,6.07,32223.73,1.34
"AAGAB","chr15",67200674,67254736,"-",10,83852.18,1.55,25.7,146485.57,2.29
